Name	Annotation1	Annotation2	Annotation3	Annotation4	Comment	Annotation5	ReqLevel
Spirit	ªG­á¥vµÜ©i	¸Õ·Ò¥­­ì	1	Âø³½			1
Fruit Jello	ªG­á¥vµÜ©i	¸Õ·Ò¥­­ì	1	Âø³½			1
Panty	°f¤Ñ­ô¥¬ªL	¸Õ·Ò¥­­ì	2	Âø³½			1
Bat Wing	½¿½»	¸Õ·Ò¥­­ì	3	Âø³½			1
Tear Drop Crystal	¤ôÄ_	¸Õ·Ò¥­­ì	4	Âø³½			1
White Fur Ball	´cºëÆF	¸Õ·Ò¥­­ì	5	Âø³½			1
Rough Sword	°­«½«½À~¥i	¸Õ·Ò¥­­ì	6	Âø³½			1
Mini Shoes	¼o®ã­ô¥¬ªL	¸Õ·Ò¬}¸]	7	Âø³½			1
Half Eaten Pudding	¥¬¤B¥vµÜ©i	¸Õ·Ò¬}¸]	7	Âø³½			1
Mirror Parts	§¯Ãè	¸Õ·Ò¬}¸]	8	Âø³½			1
Dirty Bandage	¤p¤ì¤D¥ìÂù­M­L	¸Õ·Ò¬}¸]	8	Âø³½			1
Band-Aid	¤p¤ì¤D¥ì¥S§Ì	¸Õ·Ò¬}¸]	9	Âø³½			1
Pumpkin Vine	«n¥Ê¨¸´c²ÕÂ´	¸Õ·Ò¬}¸]	9	Âø³½			1
Straw	§lºÞ½¿½»	¸Õ·Ò¬}¸]	10	¸s­º			1
Big Candy	¾½¦å¤pµ£	¸Õ·Ò¬}¸]	10	Âø³½			1
Magnifying Glass	¤j²´Å]	¸Õ·Ò¬}¸]	11	¸s­º			1
Screw Nail	¬ì¾Ç©Ç¤H	¸Õ·Ò¬}¸]	11	Âø³½			1
Rusted Chain	¬\°­	¸Õ·Ò¬}¸]	11	Âø³½			1
Clay Ball	ªh¿A°­	¸Õ·Ò¬}¸]	12	¸s­º			1
Fly Wing	ÅÜÃÇ¤H	¸Õ·Ò¬}¸]	12	Âø³½			1
Sacred Beetle	¤ì¤D¥ì	¸Õ·Ò¬}¸]	12	Âø³½			1
Blue Crystal	´ËÄ_	«ÊÆF¤§°ì	13	Âø³½			1
Haunted Ring	Å]©G¤ì¤D¥ì	«ÊÆF¤§°ì	13	Âø³½			1
Wig	°­ª±°¸¥Ú³Í	«ÊÆF¤§°ì	13	Âø³½			1
Pumpkin Juice	«n¥Ê«q°k¤p¶¤	«ÊÆF¤§°ì	14	Âø³½			1
Spiky Ball	¹p¤õºëÆF	«ÊÆF¤§°ì	14	Âø³½			1
Dried Up Teeth	·P¬VªÌ	«ÊÆF¤§°ì	14	Âø³½			1
Paperback	¾½»îÅ]ªk®Ñ	«ÊÆF¤§°ì	15	Âø³½			1
Crystal	¾½»î§Å®v	¸Õ·Ò¬}¸]	15	BOSS			1
Mud Ball	·Ä¦º°­	¸Õ·Ò¬}¸]	15	BOSS			1
Bent Stick	¦±´Ò²y³Ç´Ë	«ÊÆF¤§°ì	15	Âø³½			1
Paddy Batch	®£©Æ½_¯ó¤H	«ÊÆF¤§°ì	15	Âø³½			1
Midget's Coffin	§Å³N¤ì¤D¥ì	«ÊÆF¤§°ì	16	Âø³½			1
Invisible Wing	¤p§¯ºë	«ÊÆF¤§°ì	16	Âø³½			1
Ogre Claw	ªd¹³°­	«ÊÆF¤§°ì	16	Âø³½			1
Lime Stone	¥Û¹³°­	«ÊÆF¤§°ì	17	Âø³½			1
Wolf's Ear	ÂOªL»a¯T	«ÊÆF¤§°ì	17	Âø³½			1
Grit	«C¥ú²´Å]	«ÊÆF¤§°ì	17	¸s­º			1
Green Hat	Âø³½Å]³N®v	«ÊÆF¤§°ì	17	Âø³½			1
Scalpel	¶}½£¤âÀï§J	«ÊÆF¤§°ì	18	¸s­º			1
Wolf's Fang	³¥¾Ô¯T¤H	«ÊÆF¤§°ì	18	Âø³½			1
Wooden Ring	­¹«Í°­	«ÊÆF¤§°ì	18	Âø³½			1
Electric Needle	«ÕÆFºÞ®a	«ÊÆF¤§°ì	18	Âø³½			1
Fin Footed	¥®ªeµ£	¸t°ì¥­­ì	19	Âø³½			1
Amulet	¹C»î	¸t°ì¥­­ì	19	Âø³½			1
Ogre Horn	¨ª°­µ£	¸t°ì¥­­ì	19	Âø³½			1
Crustacean	³¥ªeµ£	¸t°ì¥­­ì	20	¸s­º			1
Paper Lantern	¥jÅ¢¤õ	¸t°ì¥­­ì	20	Âø³½			1
Hilt	§¯¤M	¸t°ì¥­­ì	20	Âø³½			1
Dried Up Hand	îî¼v¥È«Í	¸t°ì¥­­ì	21	Âø³½			1
Small Sickle	ñTÃ^	¸t°ì¥­­ì	21	¸s­º			1
Lantern Flame	§¯¿O	¸t°ì¥­­ì	21	Âø³½			1
Cotton Ball	©¥»jµï	«ÊÆF¤§°ì	21	BOSS			1
Plushy	¦w»îµ£	¸t°ì¥­­ì	22	Âø³½			1
Spider Poison Bag	¨ª²´»jµï	¸t°ì¥­­ì	22	¸s­º			1
Tiger Skin	»È°­µ£¡@	¸t°ì¥­­ì	22	Âø³½			1
Weasel Tail	´Ë¤§Ã^	¸t°ì¥­­ì	23	Âø³½			1
Rough Rope	«ÕÆF	¸t°ì¥­­ì	23	Âø³½			1
Chain	¥ÕµL±`	¸t°ì¥­­ì	23	Âø³½			1
Shred of Sword	°­ÀY¤M	¸t°ì¥­­ì	24	Âø³½			1
Jiang Shi Doll	íL«Í	¸t°ì¥­­ì	24	¸s­º			1
Commandment	¶ÂµL±`	¸t°ì¥­­ì	24	Âø³½			1
Jello	·R¥É¥vµÜ©i	¸t¹k¥­­ì	25	Âø³½			1
Thunder Crystal	­·Ä_	¸t¹k¥­­ì	25	Âø³½			1
Torn Shoe Lace	°­Ä_¨©Å]©_	¸t¹k¥­­ì	25	Âø³½			1
Fly's Egg	ªGÃÇ¤H	¸t¹k¥­­ì	26	Âø³½			1
Fur Ball	³·ªáÃ~	¸t¹k¥­­ì	26	Âø³½			1
Ripped Costume	¶Â·t½_¯ó¤H	¸t¹k¥­­ì	26	Âø³½			1
Shell Hair Accessory	®üÅ]¤k	¸t¹k¥­­ì	27	Âø³½			1
Soul Ball	Å]Ãè	¸t°ì¥­­ì	27	BOSS			1
White Mask	­±¨ã©Ç«È	¸t¹k¥­­ì	27	Âø³½			1
Garbage Bag	§l¹Ð½¿½»	¸t¹k¥­­ì	27	Âø³½			1
Letter Weight	Åå´j®Ñ»î	¸t¹k¥­­ì	28	¸s­º			1
Magnet	¼o¤­ª÷ÄÝ¤H	¸t¹k¥­­ì	28	Âø³½			1
Glass Ball	¯ä¦å¤p°­	¸t¹k¥­­ì	28	Âø³½			1
Coral Twig	­¹¤ôÅ]	¸t¹k¥­­ì	29	¸s­º			1
Small Bronze Statue	»É¹³°­	¸t¹k¥­­ì	29	Âø³½			1
Pink Bandage	¯»¬õ¤ì¤D¥ì	¸t¹k¥­­ì	29	Âø³½			1
Steel Gloves	¬õµKÃM¤h	¸t¹k¥­­ì	30	¸s­º			1
Skull	¾uÅ\¾Ô¤h	¸t¹k¥­­ì	30	Âø³½			1
Stone Necklace	¾uÅ\¤s¸é	¸t¹k¥­­ì	30	Âø³½			1
Pumpkin Cookie	¤£¬ü¨ý«n¥Ê¦ê	¤H°©±Ð°ó1F	31				1
Festival Stone							1
Requiem Stone							1
Shred of Wind Spirit							1
Shred of Thunder Spirit							1
Shred of Earth Spirit							1
Shred of Fire Spirit							1
Shred of Water Spirit							1
Shred of Wind Spirit							1
Shred of Thunder Spirit							1
Shred of Earth Spirit							1
Shred of Fire Spirit							1
Shred of Water Spirit							1
Bundle of Needle Wire							1
Piece of Leather							1
Cotton Fabric							1
Silk Fabric							1
Hemp Fabric							1
Copper Mineral Stone							1
Iron Ore							1
Bronze Anchor							1
Iron Anchor							1
Steel Bar							1
Portable Blast Furnace							1
Brick Agent							1
Mystic Jello	­¹°©¥vµÜ©i	¤H°©±Ð°ó1F	31				1
Pin	¨¸ÆFªk¥U	¶Â­··»¬}B1	31				1
Torn Panty	·»¬}­ô¥¬ªL	¶Â­··»¬}B1	31				1
Rose	ÅK¥¨¤H	¶Â­··»¬}B1	32				1
Bat Fang	§Q¤ú½¿½»	¤H°©±Ð°ó1F	32				1
Dirty Handkerchief	³sÅé¤p¤ì¤D¥ì	¶Â­··»¬}B1	32				1
Black Wing	¶Â­·½¿½»	¤H°©±Ð°ó1F	32				1
Red Scarf	¦ºÆFÃM¤h	¤H°©±Ð°ó1F	33				1
Obsidian	¶ÂÂ`¥Û¹³°­	¶Â­··»¬}B1	33				1
Tomato Juice	§l¦åÂÎµ£	¸t¹k¥­­ì	33	BOSS			1
Shred of Reflective Mirror	ªñµø²´Å]	¤H°©±Ð°ó1F	33				1
Torn Hand	¥È«Í	¶Â­··»¬}B1	33				1
Collar	¨g¯T¤H	¤H°©±Ð°ó1F	34				1
Cowl	¾uÅ\®üµs	¤H°©±Ð°ó1F	34				1
Pot	¯Á©R¤ì¤D¥ì	¶Â­··»¬}B1	34				1
Flower Wreath	Å]¤ÛºëÆF	¶Â­··»¬}B1	34				1
Wolf's Fang	«ã¤õ¯T¤H	¤H°©±Ð°ó1F	35				1
Bone Stick	¨g°©	¶Â­··»¬}B2	35				1
Tape	¤p¤ì¤D¥ì±¡«Q	¤H°©±Ð°ó1F	35				1
